"tell me about home loan","loan_home_info","🏠 Home Loan: rates from 8.2% p.a., tenure up to 20 years. Need estimated property value and income to proceed.","PRODUCT:home loan|INTEREST:8.2%"
"home loan interest","loan_home_info","🏠 Current Home Loan rate is around 8.2% p.a. Shall I collect your income and property details?","PRODUCT:home loan|INTEREST:8.2%"
"start home loan","loan_home_start","Great. Please share your monthly income and approximate property value to pre-qualify.","PRODUCT:home loan"
"yes start home loan","loan_home_start","Got it. Monthly income and property value will help me compute eligibility.","PRODUCT:home loan"
"gold loan","loan_gold_info","🪙 Gold Loan: quick disbursal, interest from 7.5% p.a., LTV up to 75%. Do you want to proceed?","PRODUCT:gold loan|INTEREST:7.5%"
"tell me about gold loan","loan_gold_info","🪙 We offer Gold Loans at ~7.5% p.a. Bring your gold to branch; approval is usually same day.","PRODUCT:gold loan|INTEREST:7.5%"
"gold loan interest","loan_gold_info","🪙 Gold Loan starts near 7.5% p.a. Want me to book a branch visit?","PRODUCT:gold loan|INTEREST:7.5%"
"start gold loan","loan_gold_start","Sure. Please share your nearest branch and an approximate gold weight so I can schedule a visit.","PRODUCT:gold loan"
"education loan","loan_education_info","🎓 Education Loan: rates from 9.1% p.a., moratorium during study period. Should I gather course and fee details?","PRODUCT:education loan|INTEREST:9.1%"
"tell me about education loan","loan_education_info","🎓 We fund tuition and living costs with rates starting 9.1% p.a. Share course, university, and fee estimate to proceed.","PRODUCT:education loan|INTEREST:9.1%"
"education loan interest","loan_education_info","🎓 Education Loan begins around 9.1% p.a. Do you want to start an application?","PRODUCT:education loan|INTEREST:9.1%"
"start education loan","loan_education_start","Happy to help. Please provide course name, university, and total fee estimate.","PRODUCT:education loan"

"cards","card_inquiry","💳 Do you need a credit card or a debit card?",""
"i need a card","card_inquiry","💳 Sure. Would you like a credit card or a debit card?",""
"card options","card_inquiry","💳 We can issue credit cards and debit cards. Which one do you prefer?",""
"credit card","card_credit_info","💳 Great choice. Do you want a rewards card or low-interest card? I can also share documents needed.","CARD_TYPE:credit"
"apply for credit card","card_credit_apply","I can help with a credit card application. Please share your monthly income and PAN to start.","CARD_TYPE:credit"
"i want a rewards credit card","card_credit_info","Noted. Rewards credit card available. Shall I check eligibility?","CARD_TYPE:credit"
"debit card","card_debit_info","🏧 Sure. Please provide your account number so I can link the debit card.","CARD_TYPE:debit"
"i need a new debit card","card_debit_info","🏧 I'll arrange that. Share your account number and delivery address.","CARD_TYPE:debit"
"lost my debit card","block_card","🚨 I can block it immediately. Share the last 4 digits of the card to confirm.","CARD_TYPE:debit"
"block my card","block_card","🚨 Blocking the card now. Please provide the last 4 digits to confirm.",""
"block card 4321","block_card_confirm","Done. Card ending 4321 is blocked. A replacement arrives in 5–7 working days.","CARD_LAST4:4321"
"block debit card 9876","block_card_confirm","Confirmed. Debit card ending 9876 is blocked. You'll get a new card soon.","CARD_TYPE:debit|CARD_LAST4:9876"
"block credit card 2468","block_card_confirm","Confirmed. Credit card ending 2468 is blocked. Replacement is on the way.","CARD_TYPE:credit|CARD_LAST4:2468"
"damaged card","card_replace","You can request a replacement card through net banking or at the branch. Delivery may take 5–7 working days.",""
"12345678934","card_replace","You can request a replacement card through net banking or at the branch. Delivery may take 5–7 working days.","ACCOUNT_NUMBER:12345678934"
"text","intent","response","entities"
"hi","greet","👋 Hello! How can I help you today?",""
"hello","greet","👋 Hi there! Ask me about your balance, transactions, or loans.",""
"hey","greet","👋 Hey! What can I do for you?",""
"good morning","greet","Good morning! How can I assist?",""
"bye","goodbye","👋 Goodbye! Have a great day.",""
"goodbye","goodbye","👋 See you next time.",""
"what is my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"check balance","check_balance","💰 Of course. What is your account number?",""
"show my account balance","check_balance","💰 I'd be happy to check your balance. What is your account number?",""
"can you tell me my balance","check_balance","💰 I can certainly help with that. What is your account number?",""
"account balance","check_balance","💰 I can help with your account balance. Please provide your account number.",""
"check my balance","check_balance","💰 Sure! What's your account number so I can verify?",""
"show me my balance","check_balance","💰 I'd be happy to check your balance. Could you provide your account number?",""
"i want to check my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"tell me my balance","check_balance","💰 Sure! May I have your account number to verify?",""
"what's my balance","check_balance","💰 5000.",""
"balance inquiry","check_balance","💰 To check your balance, please provide your account number.",""
"how much money do i have","check_balance","💰 I can help with that. Please give me your account number.",""
"last transactions","transaction_inquiry","For a detailed statement, please click the 'Transactions' card on your dashboard.",""
"show transaction history","transaction_inquiry","You can see your full transaction history on the 'Transactions' page.",""
"loan","loan_inquiry","🏦 We offer Personal and Home Loans. You can explore options on the 'Loans' page.",""
"loan details","loan_inquiry","🏦 You can compare loan types and interest rates in the 'Loan' section.",""
"loan options","loan_inquiry","🏦 We provide multiple loan types. Check the 'Loans' page for details.",""
"personal loan","loan_inquiry","🏦 Our Personal Loan has flexible repayment options. Learn more on the 'Loans' page.",""
"home loan","loan_inquiry","🏦 Our Home Loan offers competitive interest rates. Visit the 'Loans' page.",""
"loan interest rate","loan_inquiry","🏦 You can check interest rates for all loans on the 'Loans' page.",""
"cards","card_inquiry","💳 You can manage your cards on the 'Cards' page.",""
"block my card","block_card","🚨 Block your card immediately from the 'Cards' page or by calling our helpline.",""
"branch details","branch_locator","You can find all our branch addresses and timings on the 'Branches' page.",""
"find a branch","branch_locator","Please visit the 'Branches' page on your dashboard to find the one nearest to you.",""
"transfer","transfer_money","💸 OK, let's send some money. Who should I send it to?",""
"send money","transfer_money","💸 Happy to help with that. What is the name of the recipient?",""
"i need to send money","transfer_money","💸 I can help with that. To whom would you like to send money?",""
"make a payment","transfer_money","💸 OK. Who is the payment for?",""
"send 500 rupees to Teja","transfer_money","","PERSON:Teja|MONEY:500"
"transfer 1000 to Sri","transfer_money","","PERSON:Sri|MONEY:1000"
"transfer 2000 to John","transfer_money","","PERSON:John|MONEY:2000"
"send 1500 to Priya","transfer_money","","PERSON:Priya|MONEY:1500"
"i want to send 2500 to Ravi","transfer_money","","PERSON:Ravi|MONEY:2500"
"please transfer 3000 to Sita","transfer_money","","PERSON:Sita|MONEY:3000"
"my account number is 949254126359","check_balance","","ACCOUNT_NUMBER:949254126359"
"it's 949254126359","check_balance","💰 Your balance is 5000.","MONEY:5000|ACCOUNT_NUMBER:949254126359"
"thank you","thanks","You're welcome! Is there anything else I can help with?",""
"thanks","thanks","Happy to help! Let me know if you need anything else.",""
"other","out_of_scope","I can only assist with banking questions.",""
"bye","goodbye","👋 Bye! Have a great day!",""
"goodbye","goodbye","👋 See you soon!",""
"see you","goodbye","👋 See you later!",""
"it,s 949254126359",check_balance,💰 Your balance is 949254126359.,MONEY:949254126359|ACCOUNT_NUMBER:949254126359
damaged card,card_replace,You can request a replacement card through net banking or at the branch. Delivery may take 5–7 working days.,MONEY:5
send money,transaction,Please provide the recipient account number.,
transfer money,transaction,Please provide the recipient account number.,
account number 123456789012,transaction,How much would you like to send?,ACCOUNT_NUMBER:123456789012
account number 222222222222,transaction,How much would you like to send?,ACCOUNT_NUMBER:222222222222
account number 333333333333,transaction,How much would you like to send?,ACCOUNT_NUMBER:333333333333
12345678934,card_replace,You can request a replacement card through net banking or at the branch. Delivery may take 5–7 working days.,MONEY:5|ACCOUNT_NUMBER:12345678934
account number 949254126359,transaction,How much would you like to send?,ACCOUNT_NUMBER:949254126359
it's 949254126359,transaction,How much would you like to send?,MONEY:949254126359|ACCOUNT_NUMBER:949254126359
it's 949254126359,check_balance,💰 Your available balance is ₹4000.0,MONEY:949254126359|ACCOUNT_NUMBER:949254126359
home loan,loan_home_info,🏠 Our Home Loan starts at 8.2% p.a. with tenure up to 20 years. Do you want me to start an application?,MONEY:8
education loan,loan_education_info,"🎓 Education Loan: rates from 9.1% p.a., moratorium during study period. Should I gather course and fee details?",MONEY:9
gold loan,loan_gold_info,"🪙 Gold Loan: quick disbursal, interest from 7.5% p.a., LTV up to 75%. Do you want to proceed?",MONEY:7
"teja,500",transfer_money,💰 Your balance is 500.,MONEY:500
block card  4321,block_card_confirm,Done. Card ending 4321 is blocked. A replacement arrives in 5–7 working days.,MONEY:4321
4321,block_card_confirm,Done. Card ending 4321 is blocked. A replacement arrives in 5–7 working days.,MONEY:4321
